
Image Name                     PID Session Name        Session#    Mem Usage
svchost.exe                 200480 Console                   13     23,024 K
FMAudioMonitor.exe          198372 Console                   13      1,756 K
SearchHost.exe              199596 Console                   13     22,132 K
StartMenuExperienceHost.e   169108 Console                   13     29,964 K
Widgets.exe                 208620 Console                   13     21,028 K
LenovoVantage-(DeviceSett   178536 Console                   13      5,360 K
RuntimeBroker.exe           216700 Console                   13     30,636 K
LenovoVantage-(SmartDispl   161124 Console                   13      5,344 K
RuntimeBroker.exe           138592 Console                   13     11,024 K
svchost.exe                 186864 Console                   13      6,244 K
taskhostw.exe               184412 Console                   13        348 K
dllhost.exe                 216448 Console                   13      7,544 K
svchost.exe                 191812 Services                   0      3,344 K
ctfmon.exe                  177008 Console                   13     16,920 K
LockApp.exe                 204656 Console                   13      2,964 K
RuntimeBroker.exe           190280 Console                   13      9,404 K
svchost.exe                 138928 Console                   13      7,376 K
SecurityHealthSystray.exe   215676 Console                   13      4,196 K
LenovoVantage-(GenericMes   206676 Console                   13      1,712 K
RtkAudUService64.exe        169896 Console                   13      5,288 K
UniKeyNT.exe                217228 Console                   13      9,460 K
GoogleDriveFS.exe           217528 Console                   13      2,448 K
crashpad_handler.exe        217752 Console                   13      1,592 K
GoogleDriveFS.exe           217796 Console                   13     37,212 K
GoogleDriveFS.exe           217948 Console                   13     40,044 K
conhost.exe                 218016 Console                   13      2,620 K
GoogleDriveFS.exe           218096 Console                   13      2,832 K
GoogleDriveFS.exe           218104 Console                   13      5,148 K
GoogleDriveFS.exe           205592 Console                   13      5,240 K
GoogleDriveFS.exe           207024 Console                   13     23,772 K
RadeonSoftware.exe          215400 Console                   13     21,116 K
cncmd.exe                   201932 Console                   13      1,364 K
AMDRSServ.exe               218756 Console                   13      7,844 K
AutoHotkey.exe              219140 Console                   13      2,088 K
CCXProcess.exe              219208 Console                   13        408 K
node.exe                    219228 Console                   13     29,484 K
conhost.exe                 219236 Console                   13        748 K
AdobeIPCBroker.exe          220000 Console                   13        960 K
TextInputHost.exe           121908 Console                   13     21,024 K
NhNotifSys.exe              210924 Console                   13      5,172 K
svchost.exe                 219532 Console                   13      3,064 K
ShellExperienceHost.exe     217764 Console                   13     34,944 K
RuntimeBroker.exe           196604 Console                   13     13,520 K
firefox.exe                 217360 Console                   13    522,824 K
firefox.exe                 198540 Console                   13    730,448 K
firefox.exe                 204160 Console                   13      3,660 K
firefox.exe                 216384 Console                   13     43,968 K
RuntimeBroker.exe           217644 Console                   13     23,416 K
firefox.exe                  90348 Console                   13     65,304 K
firefox.exe                 211148 Console                   13      8,140 K
firefox.exe                 219060 Console                   13    348,184 K
firefox.exe                 206636 Console                   13     24,448 K
firefox.exe                 211728 Console                   13     16,468 K
firefox.exe                 205032 Console                   13      9,260 K
firefox.exe                 219028 Console                   13     45,980 K
SystemSettingsBroker.exe    200708 Console                   13     10,240 K
svchost.exe                 167752 Console                   13      2,772 K
dllhost.exe                 220336 Console                   13        780 K
WidgetService.exe           219716 Console                   13      4,520 K
AMDRSSrcExt.exe             205152 Console                   13      7,792 K
ApplicationFrameHost.exe    220672 Console                   13      7,256 K
SystemSettings.exe          216716 Console                   13         68 K
UserOOBEBroker.exe          204908 Console                   13      1,588 K
firefox.exe                 220108 Console                   13    658,564 K
firefox.exe                 172948 Console                   13     22,868 K
AdobeCollabSync.exe         219888 Console                   13        364 K
AdobeCollabSync.exe         173896 Console                   13      2,740 K
Notepad.exe                 200332 Console                   13     48,956 K
dllhost.exe                 221220 Console                   13     10,376 K
chrome.exe                  223168 Console                   13    109,360 K
chrome.exe                  222560 Console                   13      7,312 K
chrome.exe                  204920 Console                   13    177,416 K
chrome.exe                  221740 Console                   13     27,852 K
chrome.exe                  221732 Console                   13     12,112 K
chrome.exe                  223464 Console                   13     57,604 K
chrome.exe                  222284 Console                   13    199,848 K
chrome.exe                  224816 Console                   13     17,964 K
firefox.exe                 222240 Console                   13    318,208 K
firefox.exe                 216508 Console                   13     28,404 K
svchost.exe                 225052 Console                   13     12,240 K
idea64.exe                  222588 Console                   13  2,092,164 K
fsnotifier.exe              192524 Console                   13      2,056 K
conhost.exe                 216952 Console                   13      9,624 K
chrome.exe                  226296 Console                   13     47,956 K
firefox.exe                 226108 Console                   13     29,876 K
firefox.exe                 227932 Console                   13     29,868 K
msedge.exe                  229568 Console                   13    142,736 K
msedge.exe                  229584 Console                   13      8,392 K
msedge.exe                  225832 Console                   13     66,180 K
msedge.exe                  222716 Console                   13     34,184 K
msedge.exe                  225948 Console                   13     18,160 K
msedge.exe                  221660 Console                   13     55,292 K
msedge.exe                  229440 Console                   13     86,628 K
msedge.exe                  230024 Console                   13     27,548 K
smartscreen.exe             229968 Console                   13     10,220 K
msedge.exe                  227272 Console                   13     18,308 K
WmiPrvSE.exe                229108 Services                   0     10,388 K
svchost.exe                 230004 Services                   0      7,052 K
msedge.exe                  230328 Console                   13    130,204 K
java.exe                    226740 Console                   13    115,652 K
java.exe                    225776 Console                   13     85,912 K
conhost.exe                 226852 Console                   13     10,964 K
conhost.exe                 225096 Console                   13     10,972 K
msedge.exe                  227220 Console                   13     22,544 K
SearchProtocolHost.exe      227240 Console                   13      8,680 K
svchost.exe                 223224 Services                   0     22,660 K
svchost.exe                 211736 Services                   0      7,636 K
tasklist.exe                205616 Console                   13      9,248 K
conhost.exe                 227516 Console                   13     10,884 K
WmiPrvSE.exe                219024 Services                   0     10,908 K
