
Image Name                     PID Session Name        Session#    Mem Usage
LenovoVantage-(DeviceSett   155336 Console                   12      5,016 K
SearchHost.exe              142340 Console                   12     66,796 K
StartMenuExperienceHost.e   133368 Console                   12     39,280 K
Widgets.exe                  76000 Console                   12     30,648 K
RuntimeBroker.exe           159380 Console                   12     30,028 K
RuntimeBroker.exe           137640 Console                   12     13,068 K
svchost.exe                 139392 Console                   12      9,316 K
dllhost.exe                 152884 Console                   12     10,872 K
ShellExperienceHost.exe     142636 Console                   12     27,552 K
taskhostw.exe               135188 Console                   12      6,008 K
RuntimeBroker.exe           124232 Console                   12     12,656 K
ctfmon.exe                  158984 Console                   12     15,052 K
LockApp.exe                 145588 Console                   12      2,472 K
RuntimeBroker.exe           161096 Console                   12      7,956 K
svchost.exe                 164824 Console                   12     12,804 K
svchost.exe                  78968 Services                   0      3,000 K
SecurityHealthSystray.exe   143300 Console                   12      5,760 K
RtkAudUService64.exe        144520 Console                   12      9,652 K
GoogleDriveFS.exe            10172 Console                   12      9,076 K
crashpad_handler.exe         67768 Console                   12      3,996 K
GoogleDriveFS.exe           146160 Console                   12     38,828 K
GoogleDriveFS.exe           167128 Console                   12     43,024 K
conhost.exe                 109592 Console                   12      5,824 K
GoogleDriveFS.exe           142724 Console                   12      5,580 K
GoogleDriveFS.exe           162484 Console                   12      7,068 K
GoogleDriveFS.exe           144792 Console                   12      4,992 K
GoogleDriveFS.exe           143276 Console                   12     23,148 K
TextInputHost.exe           159756 Console                   12     21,884 K
RadeonSoftware.exe          168196 Console                   12     35,948 K
cncmd.exe                   158780 Console                   12      3,464 K
AMDRSServ.exe               123672 Console                   12      8,132 K
AutoHotkey.exe              164152 Console                   12      5,508 K
NhNotifSys.exe              142672 Console                   12      4,364 K
svchost.exe                 123044 Console                   12      7,124 K
RuntimeBroker.exe           171104 Console                   12     15,592 K
dllhost.exe                 167988 Console                   12     11,568 K
LenovoVantage-(SmartDispl   135224 Console                   12      5,500 K
LenovoVantage-(GenericMes   170520 Console                   12     11,236 K
