
Image Name                     PID Session Name        Session#    Mem Usage
unsecapp.exe                210964 Console                   13      4,988 K
unsecapp.exe                199024 Console                   13      5,068 K
svchost.exe                 205068 Console                   13     22,248 K
SearchHost.exe              185008 Console                   13      1,488 K
StartMenuExperienceHost.e   120796 Console                   13     11,348 K
Widgets.exe                 209376 Console                   13     18,064 K
RuntimeBroker.exe           201936 Console                   13     10,744 K
RuntimeBroker.exe           192532 Console                   13      3,596 K
svchost.exe                 184532 Console                   13      4,712 K
dllhost.exe                 217040 Console                   13      4,456 K
ctfmon.exe                  210460 Console                   13      9,816 K
LockApp.exe                 214144 Console                   13      2,220 K
RuntimeBroker.exe           215968 Console                   13      7,272 K
svchost.exe                 218172 Console                   13      7,396 K
SecurityHealthSystray.exe   211860 Console                   13      4,124 K
RtkAudUService64.exe        199932 Console                   13      7,292 K
GoogleDriveFS.exe           180960 Console                   13      5,400 K
crashpad_handler.exe        214856 Console                   13      2,700 K
GoogleDriveFS.exe           215620 Console                   13     36,264 K
GoogleDriveFS.exe           215276 Console                   13     34,000 K
conhost.exe                 103340 Console                   13      3,588 K
GoogleDriveFS.exe           194592 Console                   13      3,964 K
GoogleDriveFS.exe           195880 Console                   13      5,212 K
GoogleDriveFS.exe           194012 Console                   13      5,228 K
GoogleDriveFS.exe           199660 Console                   13     22,644 K
RadeonSoftware.exe          208900 Console                   13     15,108 K
svchost.exe                 218440 Services                   0      1,976 K
cncmd.exe                   153412 Console                   13      2,116 K
AMDRSServ.exe               109352 Console                   13      6,528 K
ShellExperienceHost.exe     184928 Console                   13      3,972 K
AutoHotkey.exe              189156 Console                   13      3,912 K
CCXProcess.exe              206024 Console                   13        868 K
node.exe                    198468 Console                   13     30,048 K
conhost.exe                 192276 Console                   13      2,044 K
RuntimeBroker.exe           204064 Console                   13      8,188 K
AdobeIPCBroker.exe          146184 Console                   13      5,840 K
TextInputHost.exe           221712 Console                   13     20,780 K
svchost.exe                 219800 Services                   0      5,236 K
NhNotifSys.exe              206012 Console                   13      5,004 K
svchost.exe                 220396 Console                   13      4,596 K
ApplicationFrameHost.exe    185440 Console                   13      4,384 K
SystemSettings.exe          216880 Console                   13      1,284 K
svchost.exe                 214696 Console                   13      3,968 K
UserOOBEBroker.exe          220420 Console                   13      2,828 K
LenovoVantage-(SmartDispl   203484 Console                   13      6,408 K
SystemSettingsBroker.exe    221772 Console                   13      8,440 K
LenovoVantage-(GenericMes   205272 Console                   13      6,304 K
WidgetService.exe           209640 Console                   13      5,896 K
backgroundTaskHost.exe      221416 Console                   13      2,528 K
RuntimeBroker.exe           217216 Console                   13      2,932 K
AMDRSSrcExt.exe             116544 Console                   13      7,600 K
chrome.exe                  219636 Console                   13    195,348 K
chrome.exe                  221120 Console                   13      3,120 K
chrome.exe                  214692 Console                   13    325,484 K
chrome.exe                  216696 Console                   13     37,564 K
chrome.exe                  194424 Console                   13      7,204 K
dllhost.exe                 222108 Console                   13      2,424 K
chrome.exe                  214836 Console                   13      8,748 K
AdobeCollabSync.exe         220968 Console                   13        740 K
AdobeCollabSync.exe         206964 Console                   13      4,488 K
FMAudioMonitor.exe          174700 Console                   13      4,424 K
chrome.exe                  210744 Console                   13     14,760 K
chrome.exe                  211324 Console                   13     40,884 K
UniKeyNT.exe                222032 Console                   13      4,888 K
taskhostw.exe                93864 Console                   13      9,492 K
idea64.exe                  180640 Console                   13  2,139,872 K
fsnotifier.exe              213472 Console                   13      1,696 K
conhost.exe                 217360 Console                   13      3,424 K
java.exe                    222284 Console                   13     43,320 K
conhost.exe                 215964 Console                   13      3,924 K
chrome.exe                  121516 Console                   13    471,380 K
msedge.exe                  211400 Console                   13     54,284 K
msedge.exe                  216868 Console                   13      2,604 K
msedge.exe                  214656 Console                   13     58,128 K
msedge.exe                  219372 Console                   13     16,548 K
msedge.exe                  222780 Console                   13      4,064 K
msedge.exe                  211984 Console                   13      8,140 K
msedge.exe                  149752 Console                   13    105,180 K
msedge.exe                  200156 Console                   13     19,264 K
msedge.exe                  220436 Console                   13      3,668 K
msedge.exe                  222632 Console                   13      9,884 K
msedge.exe                  155460 Console                   13      7,112 K
msedge.exe                  212048 Console                   13      4,408 K
msedge.exe                  196780 Console                   13      4,120 K
RuntimeBroker.exe           213548 Console                   13     13,156 K
chrome.exe                  223012 Console                   13    327,972 K
Notepad.exe                 223532 Console                   13     31,140 K
dllhost.exe                 223588 Console                   13      3,424 K
svchost.exe                 225296 Console                   13      4,016 K
CCLibrary.exe               227784 Console                   13      1,252 K
node.exe                    227796 Console                   13     14,680 K
conhost.exe                 227876 Console                   13      2,980 K
chrome.exe                  227192 Console                   13     57,332 K
chrome.exe                  207052 Console                   13     99,116 K
chrome.exe                  223864 Console                   13     81,052 K
chrome.exe                  229152 Console                   13     81,196 K
java.exe                    228820 Console                   13    114,468 K
conhost.exe                 228804 Console                   13     10,468 K
java.exe                    227024 Console                   13    220,320 K
conhost.exe                 211056 Console                   13     10,468 K
svchost.exe                 225604 Services                   0      7,616 K
tasklist.exe                224852 Console                   13      9,212 K
conhost.exe                 228828 Console                   13     10,372 K
WmiPrvSE.exe                229312 Services                   0     10,984 K
